,economy,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig,year
100804,Pakistan,0.428452911090272,2,31.0,1,3,1.0,2.0,1,0,1.0,,,2,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,1.0,1.0,2.0,1.0,2,,,2,2,2,,,,2,2,2.0,2.0,2,2,1,,3,1.0,1.0,1.0,1.0,,,2.0,,,,1,2.0,2.0,,,1.0,1,2.0,2.0,2.0,1.0,,,2,2,,,,,2.0,,,,,,4,4,1,2,3.0,1.0,,0,1,2,4,4,4.0,2,1.0,1,2,1,0.0,2021
100805,Pakistan,0.364809416547319,2,29.0,2,3,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,3,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,1,2.0,2.0,2.0,1.0,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,2,2,2,3.0,2.0,,0,0,2,4,4,2.0,4,5.0,1,1,0,0.0,2021
100806,Pakistan,1.40639886123792,2,32.0,1,3,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,1,2.0,2.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,4,2,2,2,4.0,3.0,,0,0,4,4,4,4.0,2,5.0,1,1,0,0.0,2021
100807,Pakistan,2.0688450801614,2,24.0,2,5,1.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,3,2.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,2.0,2.0,2.0,1.0,,,2,2,,,,,2.0,,,,,,4,4,2,4,,2.0,,0,0,2,4,4,4.0,2,5.0,1,1,0,0.0,2021
100808,Pakistan,0.718380186250059,1,50.0,1,5,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,2,1,4,3.0,2.0,,0,0,4,4,4,4.0,4,5.0,1,2,0,0.0,2021
100809,Pakistan,2.43924388399125,1,,1,3,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2.0,2,2,2,,3,1.0,5.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,2,1.0,2.0,,0,0,4,4,4,4.0,4,5.0,1,2,0,0.0,2021
100810,Pakistan,0.441245456095165,1,30.0,2,2,2.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,7,,,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,2,2,4.0,2.0,,0,0,4,4,4,4.0,2,5.0,1,2,0,0.0,2021
100811,Pakistan,0.762888607252541,1,45.0,1,2,1.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,3,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,1,2.0,2.0,2.0,1.0,,,2,2,,,,,2.0,,,,,,1,1,1,1,3.0,1.0,,0,1,2,4,4,4.0,4,5.0,1,2,0,0.0,2021
100812,Pakistan,0.251685658595747,1,37.0,2,2,1.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,1,2,2,,,,2,2,2.0,2.0,2,2,1,,7,,,2.0,,,,2.0,,,,1,2.0,1.0,1.0,,,1,2.0,2.0,2.0,2.0,2.0,,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,1.0,,0,1,3,4,4,4.0,1,5.0,2,1,0,0.0,2021
100813,Pakistan,0.570584851660482,2,22.0,2,3,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,3,2.0,2.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,2.0,2.0,2.0,1.0,,,2,2,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2,1,2,2,2.0,2.0,,0,0,2,4,4,3.0,2,5.0,1,1,0,0.0,2021
