,economy,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig,year
68716,Kenya,1.43444469013748,1,29.0,2,4,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,1,2,2,,,,2,2,2.0,2.0,2,2,2,,2,1.0,1.0,2.0,,,,1.0,2.0,1.0,1.0,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,2.0,,1,0,4,4,4,4.0,4,2.0,1,2,0,0.0,2021
68717,Kenya,1.01415532741147,2,50.0,2,5,1.0,1.0,1,1,1.0,1.0,2.0,1,1.0,2.0,1.0,1.0,2.0,,,,1.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2,,,1,1,2,,,,1,2,1.0,2.0,2,2,2,,1,3.0,1.0,1.0,1.0,,,1.0,1.0,,,1,1.0,1.0,2.0,,,1,2.0,1.0,1.0,,,2.0,2,2,,,,,1.0,1.0,1.0,1.0,,,1,3,3,3,,1.0,,1,1,1,4,4,1.0,1,1.0,1,1,1,0.0,2021
68718,Kenya,0.924597296993108,2,24.0,2,5,1.0,2.0,1,0,1.0,,,2,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,1.0,1.0,2.0,1.0,1,2.0,,1,1,1,3.0,2.0,,1,2,1.0,1.0,1,2,1,2.0,2,2.0,2.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,2,2,3.0,1.0,,1,1,4,4,4,4.0,4,5.0,1,1,1,1.0,2021
68719,Kenya,1.1600373295178,1,15.0,1,1,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,4.0,1.0,,0,0,4,4,4,4.0,4,5.0,2,2,0,0.0,2021
68720,Kenya,0.843913014925404,1,30.0,1,1,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,7,,,2.0,,,,1.0,2.0,1.0,2.0,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,4.0,1.0,,0,1,4,4,4,4.0,4,3.0,2,2,0,0.0,2021
68721,Kenya,0.436966363188848,2,32.0,2,5,1.0,2.0,1,0,1.0,,,2,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,1.0,1,2.0,,1,1,2,,,,2,2,2.0,2.0,2,2,1,,2,2.0,1.0,2.0,,,,1.0,2.0,1.0,1.0,2,,,,,,1,2.0,2.0,1.0,,,2.0,2,2,,,,,2.0,,,,,,1,2,1,3,2.0,1.0,,1,1,1,4,4,4.0,4,2.0,1,2,1,1.0,2021
68722,Kenya,1.53291173709268,1,35.0,2,2,1.0,2.0,1,1,1.0,2.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2,,,2,1,2,,,,2,2,2.0,2.0,2,2,1,,5,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,3.0,1.0,,1,1,4,4,4,4.0,4,5.0,1,1,1,0.0,2021
68723,Kenya,0.341817240980233,1,21.0,2,5,2.0,2.0,1,1,1.0,2.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1,2.0,,1,1,2,,,,2,2,2.0,2.0,2,2,2,,2,2.0,1.0,1.0,1.0,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,3,3,3,3,,2.0,,1,0,4,4,4,4.0,4,1.0,1,1,1,1.0,2021
68724,Kenya,0.382722017924296,2,22.0,2,5,1.0,2.0,1,1,1.0,2.0,2.0,2,,,1.0,1.0,2.0,,,,1.0,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1,2.0,,1,1,1,2.0,1.0,,2,2,1.0,2.0,1,1,2,,3,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1,1.0,1.0,2.0,,,1,2.0,1.0,1.0,,,2.0,2,2,,,,,2.0,,,,,,1,1,1,1,3.0,1.0,,1,1,1,4,4,4.0,1,1.0,1,1,1,1.0,2021
68725,Kenya,0.397536549615986,2,31.0,2,4,1.0,1.0,1,0,1.0,,,2,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,1.0,1.0,2.0,1.0,2,,,1,1,2,,,,2,2,1.0,2.0,1,2,1,,2,1.0,1.0,1.0,1.0,,,1.0,1.0,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,4.0,1.0,,1,1,4,4,4,4.0,4,1.0,2,2,1,0.0,2021
68726,Kenya,1.1061481961543,1,47.0,1,2,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2,,,2,1,2,,,,2,2,,1.0,2,1,1,1.0,4,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,1.0,,1,1,4,4,4,4.0,4,5.0,1,2,0,0.0,2021
68727,Kenya,2.08802734545332,1,40.0,1,1,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2,,,2,2,2,,,,2,2,,2.0,1,2,1,,1,2.0,2.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,1.0,,0,1,4,4,4,4.0,4,5.0,2,2,0,0.0,2021
68728,Kenya,2.09546131037857,2,79.0,1,1,2.0,1.0,1,1,0.0,,,2,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,8,,,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,1,2,1.0,2.0,,,2.0,,,,,,1,1,2,3,3.0,1.0,,0,0,4,1,4,4.0,4,5.0,2,2,1,0.0,2021
68729,Kenya,2.43044355895058,2,44.0,1,2,1.0,2.0,1,1,1.0,2.0,2.0,1,2.0,,1.0,2.0,2.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1,1.0,,1,1,1,1.0,2.0,,2,2,2.0,2.0,1,1,1,,3,1.0,1.0,2.0,,,,2.0,,,,1,1.0,1.0,2.0,,,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,3,1,4.0,1.0,,0,1,4,4,4,2.0,1,5.0,1,2,1,1.0,2021
68730,Kenya,0.951049825104681,2,35.0,1,1,1.0,1.0,1,0,1.0,,,2,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,2,,,2,2,2,,,,2,2,2.0,2.0,2,2,2,,7,,,2.0,,,,1.0,2.0,2.0,2.0,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,2,4.0,1.0,,0,1,4,4,4,4.0,4,4.0,1,1,1,0.0,2021
68731,Kenya,0.571625294791665,2,46.0,1,4,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,1.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,2.0,2.0,2.0,1.0,,,2,2,,,,,2.0,,,,,,1,1,1,1,3.0,1.0,,1,0,2,4,4,4.0,2,5.0,2,2,0,0.0,2021
68732,Kenya,0.613846586175275,2,36.0,2,5,1.0,1.0,1,0,1.0,,,2,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,2.0,2.0,2.0,1.0,2,,,2,2,2,,,,2,2,2.0,1.0,2,2,1,1.0,2,2.0,1.0,2.0,,,,2.0,,,,2,,,,,,1,2.0,2.0,2.0,1.0,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,3,1,1,1,2.0,3.0,,1,1,2,4,4,2.0,4,5.0,2,2,1,0.0,2021
68733,Kenya,1.68337536529241,1,17.0,1,2,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,2,,,2,1,1,1.0,2.0,,2,2,,2.0,2,2,2,,3,1.0,2.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,2,1,2.0,2.0,,0,0,4,4,4,4.0,4,5.0,2,2,0,0.0,2021
68734,Kenya,0.382079869266699,1,35.0,2,1,1.0,2.0,1,1,0.0,1.0,2.0,1,2.0,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,,,,,2,,,1,1,2,,,,2,2,,1.0,2,2,2,1.0,2,2.0,1.0,1.0,1.0,,,1.0,1.0,,,1,2.0,1.0,2.0,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,2,2,3.0,2.0,,1,1,4,4,4,4.0,1,1.0,1,1,1,0.0,2021
68735,Kenya,1.19985089559565,1,19.0,2,3,2.0,1.0,1,1,1.0,2.0,2.0,2,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,2,,,1,1,2,,,,2,2,1.0,2.0,2,1,2,,1,2.0,1.0,1.0,1.0,,,1.0,1.0,,,2,,,,,,2,,,,,,,1,2,2.0,2.0,2.0,2.0,2.0,,,,,,1,1,1,1,4.0,1.0,,1,1,4,3,4,4.0,4,1.0,1,1,1,0.0,2021
68736,Kenya,1.96884630756559,2,43.0,1,1,1.0,2.0,1,1,1.0,2.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,2,,,1,1,2,,,,2,1,2.0,2.0,2,2,2,,3,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,1,1.0,1.0,2.0,,,1,2.0,2.0,1.0,,,2.0,2,2,,,,,2.0,,,,,,1,1,1,2,2.0,1.0,,1,0,1,4,4,4.0,1,2.0,1,2,1,0.0,2021
68737,Kenya,0.485985777518478,1,24.0,2,4,1.0,2.0,1,1,1.0,,,2,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1,2.0,,1,1,1,1.0,2.0,,1,1,2.0,1.0,1,1,1,1.0,2,2.0,3.0,1.0,1.0,,,1.0,1.0,,,1,1.0,1.0,2.0,,,1,2.0,2.0,1.0,,,2.0,2,2,,,,,2.0,,,,,,1,1,1,1,1.0,1.0,,1,1,1,4,4,4.0,1,1.0,1,1,1,1.0,2021
